,loglik
0,-7754.7046
1,-7752.6323
2,-7750.561
3,-7748.4897
4,-7746.4194
5,-7744.349
6,-7742.28
7,-7740.211
8,-7738.142
9,-7736.0747
10,-7734.0073
11,-7731.9404
12,-7729.8735
13,-7727.807
14,-7725.742
15,-7723.6772
16,-7721.613
17,-7719.5483
18,-7717.485
19,-7715.422
20,-7713.3584
21,-7711.296
22,-7709.2334
23,-7707.1724
24,-7705.111
25,-7703.05
26,-7700.9897
27,-7698.9297
28,-7696.8696
29,-7694.811
30,-7692.7515
31,-7690.6934
32,-7688.635
33,-7686.577
34,-7684.5205
35,-7682.4634
36,-7680.407
37,-7678.3516
38,-7676.296
39,-7673.568
40,-7670.9697
41,-7668.4585
42,-7666.0137
43,-7663.6196
44,-7661.2666
45,-7658.9487
46,-7656.6597
47,-7654.395
48,-7652.15
49,-7649.9233
50,-7647.713
51,-7645.516
52,-7643.331
53,-7641.1567
54,-7638.991
55,-7636.8335
56,-7634.6836
57,-7632.54
58,-7630.4023
59,-7628.27
60,-7626.141
61,-7624.018
62,-7621.8975
63,-7619.7803
64,-7617.6665
65,-7615.556
66,-7613.4473
67,-7611.3413
68,-7609.2373
69,-7607.135
70,-7605.0347
71,-7602.936
72,-7600.8384
73,-7598.7437
74,-7596.6484
75,-7594.5557
76,-7592.4634
77,-7590.3726
78,-7588.282
79,-7585.856
80,-7583.491
81,-7581.166
82,-7578.8726
83,-7576.6035
84,-7574.356
85,-7572.1255
86,-7569.9097
87,-7567.7056
88,-7565.512
89,-7563.3286
90,-7561.154
91,-7558.9854
92,-7556.8228
93,-7554.666
94,-7552.5146
95,-7550.367
96,-7548.2236
97,-7546.0835
98,-7543.947
99,-7541.8125
100,-7539.681
101,-7537.552
102,-7535.425
103,-7533.2983
104,-7531.1763
105,-7529.0537
106,-7526.933
107,-7524.8135
108,-7522.6963
109,-7520.579
110,-7518.4634
111,-7516.3486
112,-7514.235
113,-7512.1226
114,-7510.01
115,-7507.8984
116,-7505.788
117,-7503.6787
118,-7501.5693
119,-7499.32
120,-7497.096
121,-7494.889
122,-7492.6963
123,-7490.5146
124,-7488.342
125,-7486.1763
126,-7484.018
127,-7481.8647
128,-7479.7163
129,-7477.5723
130,-7475.432
131,-7473.295
132,-7471.161
133,-7469.03
134,-7466.901
135,-7464.7734
136,-7462.6484
137,-7460.526
138,-7458.404
139,-7456.2837
140,-7454.164
141,-7452.047
142,-7449.9297
143,-7447.815
144,-7445.6997
145,-7443.586
146,-7441.4736
147,-7439.361
148,-7437.25
149,-7435.1396
150,-7433.0303
151,-7430.921
152,-7428.8125
153,-7426.705
154,-7424.532
155,-7422.3706
156,-7420.2173
157,-7418.0703
158,-7415.929
159,-7413.7925
160,-7411.6587
161,-7409.5293
162,-7407.4023
163,-7405.2773
164,-7403.1553
165,-7401.0347
166,-7398.916
167,-7396.799
168,-7394.683
169,-7392.5684
170,-7390.455
171,-7388.343
172,-7386.231
173,-7384.121
174,-7382.0117
175,-7379.904
176,-7377.795
177,-7375.6885
178,-7373.5825
179,-7371.4766
180,-7369.3726
181,-7367.2676
182,-7365.164
183,-7363.061
184,-7360.9585
185,-7358.8574
186,-7356.756
187,-7354.6562
188,-7352.556
189,-7350.456
190,-7348.3574
191,-7346.26
192,-7344.162
193,-7342.065
194,-7339.934
195,-7337.8125
196,-7335.6963
197,-7333.5835
198,-7331.4746
199,-7329.3687
200,-7327.2637
201,-7325.161
202,-7323.06
203,-7320.9604
204,-7318.862
205,-7316.764
206,-7314.6675
207,-7312.5713
208,-7310.476
209,-7308.382
210,-7306.287
211,-7304.1943
212,-7302.101
213,-7300.01
214,-7297.918
215,-7295.826
216,-7293.7363
217,-7291.646
218,-7289.556
219,-7287.467
220,-7285.378
221,-7283.29
222,-7281.202
223,-7279.1147
224,-7277.028
225,-7274.942
226,-7272.8555
227,-7270.7705
228,-7268.6855
229,-7266.601
230,-7264.5176
231,-7262.4336
232,-7260.351
233,-7258.2686
234,-7256.1694
235,-7254.0757
236,-7251.9863
237,-7249.9
238,-7247.8154
239,-7245.7324
240,-7243.652
241,-7241.572
242,-7239.493
243,-7237.415
244,-7235.3374
245,-7233.261
246,-7231.184
247,-7229.1094
248,-7227.0337
249,-7224.9585
250,-7222.884
251,-7220.81
252,-7218.7363
253,-7216.663
254,-7214.59
255,-7212.5166
256,-7210.445
257,-7208.3726
258,-7206.3003
259,-7204.23
260,-7202.1587
261,-7200.088
262,-7198.0186
263,-7195.9487
264,-7193.88
265,-7191.8105
266,-7189.742
267,-7187.675
268,-7185.6074
269,-7183.54
270,-7181.4736
271,-7179.407
272,-7177.342
273,-7175.276
274,-7173.202
275,-7171.134
276,-7169.068
277,-7167.0054
278,-7164.9443
279,-7162.885
280,-7160.826
281,-7158.7686
282,-7156.712
283,-7154.655
284,-7152.599
285,-7150.5435
286,-7148.489
287,-7146.4336
288,-7144.3784
289,-7142.324
290,-7140.27
291,-7138.2163
292,-7136.162
293,-7134.1094
294,-7132.0557
295,-7130.003
296,-7127.9497
297,-7125.898
298,-7123.846
299,-7121.7944
300,-7119.742
301,-7117.692
302,-7115.641
303,-7113.5913
304,-7111.5405
305,-7109.491
306,-7107.4375
307,-7105.387
308,-7103.3413
309,-7101.2974
310,-7099.255
311,-7097.2144
312,-7095.1743
313,-7093.135
314,-7091.096
315,-7089.058
316,-7087.021
317,-7084.9834
318,-7082.947
319,-7080.9097
320,-7078.8735
321,-7076.8374
322,-7074.8013
323,-7072.7656
324,-7070.73
325,-7068.6943
326,-7066.659
327,-7064.625
328,-7062.5903
329,-7060.556
330,-7058.5215
331,-7056.488
332,-7054.455
333,-7052.422
334,-7050.3887
335,-7048.357
336,-7046.324
337,-7044.2925
338,-7042.261
339,-7040.23
340,-7038.1997
341,-7036.1694
342,-7034.1396
343,-7032.11
344,-7030.081
345,-7028.0527
346,-7026.026
347,-7024.0024
348,-7021.982
349,-7019.963
350,-7017.945
351,-7015.9287
352,-7013.912
353,-7011.8965
354,-7009.882
355,-7007.8667
356,-7005.851
357,-7003.837
358,-7001.8223
359,-6999.807
360,-6997.793
361,-6995.779
362,-6993.764
363,-6991.75
364,-6989.7354
365,-6987.7217
366,-6985.7075
367,-6983.6934
368,-6981.6797
369,-6979.6665
370,-6977.654
371,-6975.641
372,-6973.628
373,-6971.615
374,-6969.6035
375,-6967.5913
376,-6965.579
377,-6963.5684
378,-6961.558
379,-6959.5474
380,-6957.537
381,-6955.5273
382,-6953.518
383,-6951.509
384,-6949.5005
385,-6947.492
386,-6945.4746
387,-6943.463
388,-6941.455
389,-6939.449
390,-6937.4453
391,-6935.443
392,-6933.4424
393,-6931.442
394,-6929.443
395,-6927.4443
396,-6925.4463
397,-6923.4487
398,-6921.451
399,-6919.454
400,-6917.4575
401,-6915.461
402,-6913.4644
403,-6911.4688
404,-6909.472
405,-6907.4775
406,-6905.482
407,-6903.4873
408,-6901.492
409,-6899.4976
410,-6897.503
411,-6895.5093
412,-6893.5156
413,-6891.5215
414,-6889.529
415,-6887.536
416,-6885.5435
417,-6883.5522
418,-6881.5605
419,-6879.5693
420,-6877.5786
421,-6875.5884
422,-6873.5986
423,-6871.6084
424,-6869.6196
425,-6867.632
426,-6865.6367
427,-6863.646
428,-6861.6597
429,-6859.6753
430,-6857.6924
431,-6855.711
432,-6853.731
433,-6851.751
434,-6849.7725
435,-6847.7935
436,-6845.816
437,-6843.838
438,-6841.8604
439,-6839.884
440,-6837.9067
441,-6835.9297
442,-6833.953
443,-6831.976
444,-6830.0005
445,-6828.0244
446,-6826.049
447,-6824.0728
448,-6822.098
449,-6820.1226
450,-6818.148
451,-6816.174
452,-6814.199
453,-6812.2246
454,-6810.251
455,-6808.278
456,-6806.3047
457,-6804.3325
458,-6802.3486
459,-6800.371
460,-6798.3965
461,-6796.425
462,-6794.456
463,-6792.488
464,-6790.521
465,-6788.556
466,-6786.5913
467,-6784.6274
468,-6782.6636
469,-6780.701
470,-6778.738
471,-6776.776
472,-6774.815
473,-6772.8535
474,-6770.8926
475,-6768.932
476,-6766.972
477,-6765.0117
478,-6763.0522
479,-6761.0938
480,-6759.1343
481,-6757.1763
482,-6755.2173
483,-6753.26
484,-6751.3022
485,-6749.3457
486,-6747.3887
487,-6745.432
488,-6743.476
489,-6741.5205
490,-6739.5654
491,-6737.6104
492,-6735.6553
493,-6733.7017
494,-6731.7476
495,-6729.7935
496,-6727.8413
497,-6725.888
498,-6723.924
499,-6721.965
500,-6720.009
501,-6718.0547
502,-6716.104
503,-6714.155
504,-6712.206
505,-6710.259
506,-6708.3125
507,-6706.3667
508,-6704.422
509,-6702.4766
510,-6700.5337
511,-6698.59
512,-6696.6465
513,-6694.704
514,-6692.762
515,-6690.82
516,-6688.8784
517,-6686.9375
518,-6684.9976
519,-6683.0566
520,-6681.116
521,-6679.177
522,-6677.238
523,-6675.2993
524,-6673.3613
525,-6671.424
526,-6669.4854
527,-6667.549
528,-6665.612
529,-6663.6763
530,-6661.7397
531,-6659.8047
532,-6657.8706
533,-6655.936
534,-6654.0024
535,-6652.0684
536,-6650.136
537,-6648.2036
538,-6646.2505
539,-6644.3027
540,-6642.3613
541,-6640.4224
542,-6638.4863
543,-6636.5522
544,-6634.621
545,-6632.6904
546,-6630.761
547,-6628.833
548,-6626.9062
549,-6624.98
550,-6623.0537
551,-6621.1284
552,-6619.2036
553,-6617.28
554,-6615.356
555,-6613.433
