,loglik
0,-7754.7046
1,-7752.6323
2,-7750.561
3,-7748.4897
4,-7746.4194
5,-7744.349
6,-7742.28
7,-7740.211
8,-7738.142
9,-7736.0747
10,-7734.0073
11,-7731.9404
12,-7729.8735
13,-7727.807
14,-7725.742
15,-7723.6772
16,-7721.613
17,-7719.5483
18,-7717.485
19,-7715.422
20,-7713.3584
21,-7711.296
22,-7709.2334
23,-7707.1724
24,-7705.111
25,-7703.05
26,-7700.9897
27,-7698.9297
28,-7696.8696
29,-7694.811
30,-7692.7515
31,-7690.6934
32,-7688.635
33,-7686.577
34,-7684.5205
35,-7682.4634
36,-7680.407
37,-7678.3516
38,-7676.296
39,-7674.012
40,-7671.759
41,-7669.528
42,-7667.316
43,-7665.1196
44,-7662.9375
45,-7660.767
46,-7658.6074
47,-7656.4575
48,-7654.315
49,-7652.1807
50,-7650.0522
51,-7647.9297
52,-7645.8135
53,-7643.701
54,-7641.5938
55,-7639.4897
56,-7637.3896
57,-7635.2935
58,-7633.1997
59,-7631.1084
60,-7629.02
61,-7626.934
62,-7624.8496
63,-7622.7686
64,-7620.6875
65,-7618.61
66,-7616.532
67,-7614.4575
68,-7612.383
69,-7610.31
70,-7608.239
71,-7606.1675
72,-7604.097
73,-7602.029
74,-7599.96
75,-7597.892
76,-7595.826
77,-7593.76
78,-7591.695
79,-7589.4243
80,-7587.182
81,-7584.961
82,-7582.758
83,-7580.5684
84,-7578.392
85,-7576.2275
86,-7574.0723
87,-7571.9253
88,-7569.786
89,-7567.655
90,-7565.529
91,-7563.4077
92,-7561.2925
93,-7559.182
94,-7557.0757
95,-7554.9736
96,-7552.874
97,-7550.778
98,-7548.685
99,-7546.594
100,-7544.5054
101,-7542.42
102,-7540.335
103,-7538.2524
104,-7536.171
105,-7534.0923
106,-7532.0137
107,-7529.9365
108,-7527.861
109,-7525.786
110,-7523.7124
111,-7521.639
112,-7519.5674
113,-7517.496
114,-7515.425
115,-7513.3555
116,-7511.286
117,-7509.2173
118,-7507.1484
119,-7504.907
120,-7502.689
121,-7500.489
122,-7498.3027
123,-7496.13
124,-7493.968
125,-7491.816
126,-7489.6724
127,-7487.536
128,-7485.407
129,-7483.284
130,-7481.166
131,-7479.0537
132,-7476.945
133,-7474.8413
134,-7472.7397
135,-7470.642
136,-7468.5483
137,-7466.456
138,-7464.367
139,-7462.2803
140,-7460.1963
141,-7458.114
142,-7456.032
143,-7453.9536
144,-7451.8755
145,-7449.8
146,-7447.7246
147,-7445.652
148,-7443.579
149,-7441.509
150,-7439.4385
151,-7437.369
152,-7435.1523
153,-7432.9556
154,-7430.775
155,-7428.606
156,-7426.4497
157,-7424.3022
158,-7422.165
159,-7420.0337
160,-7417.9106
161,-7415.793
162,-7413.6807
163,-7411.5737
164,-7409.471
165,-7407.3726
166,-7405.277
167,-7403.185
168,-7401.096
169,-7399.01
170,-7396.9263
171,-7394.8447
172,-7392.766
173,-7390.6885
174,-7388.613
175,-7386.5386
176,-7384.467
177,-7382.396
178,-7380.326
179,-7378.259
180,-7376.191
181,-7374.125
182,-7372.06
183,-7369.996
184,-7367.9336
185,-7365.8716
186,-7363.8105
187,-7361.7505
188,-7359.6904
189,-7357.6323
190,-7355.574
191,-7353.5176
192,-7351.333
193,-7349.1655
194,-7347.011
195,-7344.8687
196,-7342.735
197,-7340.6084
198,-7338.4917
199,-7336.38
200,-7334.275
201,-7332.175
202,-7330.0786
203,-7327.9873
204,-7325.9
205,-7323.8154
206,-7321.735
207,-7319.6567
208,-7317.581
209,-7315.509
210,-7313.4375
211,-7311.3687
212,-7309.302
213,-7307.2363
214,-7305.1724
215,-7303.1113
216,-7301.05
217,-7298.991
218,-7296.933
219,-7294.876
220,-7292.82
221,-7290.766
222,-7288.712
223,-7286.6587
224,-7284.6074
225,-7282.556
226,-7280.507
227,-7278.4575
228,-7276.4087
229,-7274.3613
230,-7272.315
231,-7270.2686
232,-7268.1167
233,-7265.9785
234,-7263.851
235,-7261.7324
236,-7259.623
237,-7257.52
238,-7255.4224
239,-7253.331
240,-7251.2437
241,-7249.161
242,-7247.0825
243,-7245.0073
244,-7242.936
245,-7240.8667
246,-7238.8003
247,-7236.7363
248,-7234.6743
249,-7232.6147
250,-7230.5566
251,-7228.501
252,-7226.447
253,-7224.3936
254,-7222.3423
255,-7220.2925
256,-7218.2437
257,-7216.1953
258,-7214.1494
259,-7212.1035
260,-7210.0586
261,-7208.0156
262,-7205.973
263,-7203.931
264,-7201.8896
265,-7199.8496
266,-7197.8105
267,-7195.771
268,-7193.7334
269,-7191.6963
270,-7189.659
271,-7187.6235
272,-7185.501
273,-7183.3906
274,-7181.29
275,-7179.1963
276,-7177.1084
277,-7175.029
278,-7172.952
279,-7170.881
280,-7168.8135
281,-7166.75
282,-7164.69
283,-7162.6323
284,-7160.577
285,-7158.525
286,-7156.4746
287,-7154.427
288,-7152.3804
289,-7150.336
290,-7148.2935
291,-7146.2524
292,-7144.2124
293,-7142.174
294,-7140.136
295,-7138.099
296,-7136.0635
297,-7134.03
298,-7131.996
299,-7129.9634
300,-7127.931
301,-7125.9004
302,-7123.8696
303,-7121.766
304,-7119.6724
305,-7117.5874
306,-7115.509
307,-7113.4355
308,-7111.368
309,-7109.304
310,-7107.2446
311,-7105.1895
312,-7103.136
313,-7101.087
314,-7099.039
315,-7096.994
316,-7094.9517
317,-7092.911
318,-7090.8716
319,-7088.835
320,-7086.7993
321,-7084.7656
322,-7082.7324
323,-7080.701
324,-7078.671
325,-7076.6416
326,-7074.614
327,-7072.587
328,-7070.561
329,-7068.5356
330,-7066.511
331,-7064.4873
332,-7062.4644
333,-7060.4424
334,-7058.421
335,-7056.401
336,-7054.381
337,-7052.3613
338,-7050.3423
339,-7048.3257
340,-7046.308
341,-7044.291
342,-7042.275
343,-7040.2017
344,-7038.137
345,-7036.0786
346,-7034.026
347,-7031.9775
348,-7029.933
349,-7027.8926
350,-7025.855
351,-7023.8213
352,-7021.7886
353,-7019.759
354,-7017.731
355,-7015.706
356,-7013.682
357,-7011.6606
358,-7009.6396
359,-7007.6216
360,-7005.6035
361,-7003.5874
362,-7001.5723
363,-6999.558
364,-6997.545
365,-6995.533
366,-6993.5215
367,-6991.511
368,-6989.5024
369,-6987.4937
370,-6985.4863
371,-6983.4785
372,-6981.472
373,-6979.467
374,-6977.4624
375,-6975.458
376,-6973.455
377,-6971.4517
378,-6969.449
379,-6967.4478
380,-6965.447
381,-6963.4463
382,-6961.447
383,-6959.3965
384,-6957.3535
385,-6955.317
386,-6953.2847
387,-6951.256
388,-6949.2305
389,-6947.2085
390,-6945.19
391,-6943.174
392,-6941.1587
393,-6939.1465
394,-6937.1367
395,-6935.128
396,-6933.121
397,-6931.116
398,-6929.112
399,-6927.1084
400,-6925.1074
401,-6923.107
402,-6921.1074
403,-6919.1094
404,-6917.1113
405,-6915.1147
406,-6913.119
407,-6911.124
408,-6909.1304
409,-6907.1367
410,-6905.144
411,-6903.153
412,-6901.162
413,-6899.172
414,-6897.1816
415,-6895.1924
416,-6893.205
417,-6891.217
418,-6889.23
419,-6887.2437
420,-6885.2573
421,-6883.2725
422,-6881.287
423,-6879.2666
424,-6877.251
425,-6875.2397
426,-6873.2324
427,-6871.2275
428,-6869.226
429,-6867.226
430,-6865.229
431,-6863.2334
432,-6861.2397
433,-6859.2476
434,-6857.2573
435,-6855.2676
436,-6853.28
437,-6851.2925
438,-6849.306
439,-6847.3223
440,-6845.338
441,-6843.355
442,-6841.3726
443,-6839.3906
444,-6837.4097
445,-6835.429
446,-6833.449
447,-6831.4707
448,-6829.4917
449,-6827.5137
450,-6825.5366
451,-6823.56
452,-6821.5835
453,-6819.6084
454,-6817.606
455,-6815.608
456,-6813.614
457,-6811.6216
458,-6809.6323
459,-6807.645
460,-6805.659
461,-6803.6763
462,-6801.6934
463,-6799.7134
464,-6797.7344
465,-6795.757
466,-6793.78
467,-6791.8047
468,-6789.8306
469,-6787.8574
470,-6785.8853
471,-6783.914
472,-6781.9434
473,-6779.9736
474,-6778.005
475,-6776.037
476,-6774.07
477,-6772.1035
478,-6770.1387
479,-6768.173
480,-6766.2085
481,-6764.2446
482,-6762.2817
483,-6760.3193
484,-6758.3574
485,-6756.396
486,-6754.4355
487,-6752.476
488,-6750.516
489,-6748.5566
490,-6746.5986
491,-6744.641
492,-6742.6836
493,-6740.7275
494,-6738.752
495,-6736.78
496,-6734.8105
497,-6732.8438
498,-6730.8784
499,-6728.915
500,-6726.9536
501,-6724.9937
502,-6723.0347
503,-6721.077
504,-6719.121
505,-6717.166
506,-6715.212
507,-6713.259
508,-6711.306
509,-6709.354
510,-6707.4043
511,-6705.454
512,-6703.505
513,-6701.557
514,-6699.61
515,-6697.6636
516,-6695.718
517,-6693.7725
518,-6691.8286
519,-6689.8843
520,-6687.941
521,-6685.999
522,-6684.057
523,-6682.116
524,-6680.1763
525,-6678.2354
526,-6676.296
527,-6674.358
528,-6672.42
529,-6670.4824
530,-6668.5444
531,-6666.6074
532,-6664.6724
533,-6662.7363
534,-6660.7866
535,-6658.84
536,-6656.894
537,-6654.9507
538,-6653.009
539,-6651.068
540,-6649.1284
541,-6647.1904
542,-6645.2534
543,-6643.3174
544,-6641.3823
545,-6639.4487
546,-6637.5146
547,-6635.5835
548,-6633.652
549,-6631.721
550,-6629.791
551,-6627.862
552,-6625.9336
553,-6624.0054
554,-6622.0786
555,-6620.152
