,loglik
0,-855.9908
1,-855.7719
2,-855.55304
3,-855.33405
4,-855.11505
5,-854.8962
6,-854.6772
7,-854.4583
8,-854.2393
9,-854.0203
10,-853.8013
11,-853.5823
12,-853.3633
13,-853.1441
14,-852.92487
15,-852.7055
16,-852.48596
17,-852.2663
18,-852.0466
19,-851.82654
20,-851.6063
21,-851.38605
22,-851.1655
23,-850.9448
24,-850.72406
25,-850.5032
26,-850.2819
27,-850.06067
28,-849.8391
29,-849.61743
30,-849.39557
31,-849.17346
32,-848.9512
33,-848.7287
34,-848.50604
35,-848.28314
36,-848.0602
37,-847.8369
38,-847.6136
39,-847.43304
40,-847.2513
41,-847.06915
42,-846.8869
43,-846.7044
44,-846.5218
45,-846.33887
46,-846.1555
47,-845.9719
48,-845.7879
49,-845.60345
50,-845.4187
51,-845.2335
52,-845.0479
53,-844.86194
54,-844.67554
55,-844.4888
56,-844.30164
57,-844.11426
58,-843.9264
59,-843.7383
60,-843.54987
61,-843.36115
62,-843.1721
63,-842.9828
64,-842.7933
65,-842.6035
66,-842.4135
67,-842.2234
68,-842.033
69,-841.84247
70,-841.6518
71,-841.46094
72,-841.26996
73,-841.0788
74,-840.8877
75,-840.69635
76,-840.50494
77,-840.3135
78,-840.1219
79,-839.86633
80,-839.6202
81,-839.3801
82,-839.14465
83,-838.9127
84,-838.68365
85,-838.4569
86,-838.2322
87,-838.009
88,-837.78723
89,-837.5667
90,-837.3472
91,-837.1287
92,-836.9109
93,-836.6939
94,-836.4774
95,-836.2615
96,-836.046
97,-835.83105
98,-835.6164
99,-835.40216
100,-835.1882
101,-834.9745
102,-834.76105
103,-834.5478
104,-834.3348
105,-834.12195
106,-833.9093
107,-833.6968
108,-833.48444
109,-833.2722
110,-833.0601
111,-832.8481
112,-832.6362
113,-832.4245
114,-832.21277
115,-832.00116
116,-831.7897
117,-831.5782
118,-831.36676
119,-831.13293
120,-830.90326
121,-830.67615
122,-830.45105
123,-830.22723
124,-830.0045
125,-829.78265
126,-829.56146
127,-829.34076
128,-829.1206
129,-828.9008
130,-828.6813
131,-828.46204
132,-828.2429
133,-828.0241
134,-827.80536
135,-827.5868
136,-827.36835
137,-827.14996
138,-826.9317
139,-826.7135
140,-826.4954
141,-826.2774
142,-826.0593
143,-825.84143
144,-825.62354
145,-825.40564
146,-825.18787
147,-824.9701
148,-824.75244
149,-824.5348
150,-824.31714
151,-824.09955
152,-823.88196
153,-823.6644
154,-823.44696
155,-823.22955
156,-823.0121
157,-822.7948
158,-822.5774
159,-822.3463
160,-822.118
161,-821.8914
162,-821.66595
163,-821.44147
164,-821.2135
165,-820.9874
166,-820.76263
167,-820.5388
168,-820.3158
169,-820.0933
170,-819.87134
171,-819.6498
172,-819.4285
173,-819.2076
174,-818.9869
175,-818.7663
176,-818.5459
177,-818.32574
178,-818.10565
179,-817.8857
180,-817.6657
181,-817.4459
182,-817.2262
183,-817.00653
184,-816.787
185,-816.56744
186,-816.34796
187,-816.12854
188,-815.9092
189,-815.6899
190,-815.4706
191,-815.2514
192,-815.03217
193,-814.8131
194,-814.59406
195,-814.37506
196,-814.15607
197,-813.93713
198,-813.71826
199,-813.4995
200,-813.28076
201,-813.062
202,-812.8434
203,-812.6248
204,-812.4017
205,-812.1796
206,-811.9582
207,-811.7374
208,-811.51685
209,-811.2967
210,-811.0768
211,-810.85706
212,-810.6374
213,-810.4181
214,-810.1988
215,-809.9797
216,-809.7607
217,-809.5417
218,-809.3229
219,-809.10406
220,-808.8854
221,-808.66675
222,-808.4482
223,-808.2297
224,-808.0113
225,-807.7929
226,-807.57465
227,-807.3564
228,-807.1383
229,-806.92017
230,-806.70215
231,-806.4842
232,-806.26624
233,-806.0484
234,-805.8306
235,-805.61285
236,-805.39514
237,-805.17755
238,-804.96
239,-804.7426
240,-804.52515
241,-804.3078
242,-804.09045
243,-803.8733
244,-803.64984
245,-803.4273
246,-803.20557
247,-802.9842
248,-802.7633
249,-802.5428
250,-802.3226
251,-802.10266
252,-801.88293
253,-801.6634
254,-801.44403
255,-801.22485
256,-801.0058
257,-800.7869
258,-800.5681
259,-800.3494
260,-800.1309
261,-799.9125
262,-799.6941
263,-799.47577
264,-799.2577
265,-799.03955
266,-798.82153
267,-798.6036
268,-798.38574
269,-798.16797
270,-797.9503
271,-797.73267
272,-797.51495
273,-797.29755
274,-797.0801
275,-796.8627
276,-796.6454
277,-796.4281
278,-796.21094
279,-795.9938
280,-795.77673
281,-795.55975
282,-795.3428
283,-795.1259
284,-794.90393
285,-794.683
286,-794.4627
287,-794.24304
288,-794.02374
289,-793.8047
290,-793.58606
291,-793.36755
292,-793.1493
293,-792.93115
294,-792.7133
295,-792.49554
296,-792.2779
297,-792.06036
298,-791.84296
299,-791.6256
300,-791.4083
301,-791.1912
302,-790.97424
303,-790.7572
304,-790.5403
305,-790.32355
306,-790.1068
307,-789.89
308,-789.6734
309,-789.4569
310,-789.24036
311,-789.0239
312,-788.80743
313,-788.5912
314,-788.3748
315,-788.1585
316,-787.9423
317,-787.7262
318,-787.5101
319,-787.2947
320,-787.0793
321,-786.864
322,-786.6489
323,-786.4338
324,-786.2188
325,-786.0038
326,-785.78894
327,-785.5741
328,-785.3593
329,-785.14453
330,-784.92993
331,-784.7153
332,-784.5007
333,-784.28613
334,-784.07166
335,-783.8572
336,-783.64276
337,-783.42834
338,-783.21405
339,-782.9997
340,-782.7854
341,-782.57117
342,-782.35706
343,-782.1428
344,-781.9287
345,-781.71466
346,-781.5006
347,-781.2866
348,-781.07263
349,-780.8587
350,-780.6448
351,-780.43097
352,-780.21716
353,-780.0034
354,-779.7897
355,-779.5759
356,-779.3623
357,-779.1487
358,-778.93506
359,-778.722
360,-778.50903
361,-778.29626
362,-778.08356
363,-777.8708
364,-777.6582
365,-777.4457
366,-777.23315
367,-777.0207
368,-776.8083
369,-776.5959
370,-776.3836
371,-776.1713
372,-775.95917
373,-775.7469
374,-775.5348
375,-775.32263
376,-775.1106
377,-774.8987
378,-774.6866
379,-774.4748
380,-774.2629
381,-774.0509
382,-773.8391
383,-773.62726
384,-773.4156
385,-773.2038
386,-772.9922
387,-772.7805
388,-772.5689
389,-772.35736
390,-772.1458
391,-771.93427
392,-771.7228
393,-771.5113
394,-771.2999
395,-771.08856
396,-770.87714
397,-770.6659
398,-770.4546
399,-770.24255
400,-770.03076
401,-769.8193
402,-769.6079
403,-769.39667
404,-769.1854
405,-768.97437
406,-768.7633
407,-768.55237
408,-768.3415
409,-768.1306
410,-767.9198
411,-767.70905
412,-767.4983
413,-767.2876
414,-767.077
415,-766.8664
416,-766.6558
417,-766.4454
418,-766.2349
419,-766.0245
420,-765.8141
421,-765.60376
422,-765.39355
423,-765.1832
424,-764.973
425,-764.7629
426,-764.55273
427,-764.34265
428,-764.13257
429,-763.92255
430,-763.71265
431,-763.50275
432,-763.2929
433,-763.083
434,-762.8733
435,-762.6635
436,-762.4538
437,-762.24414
438,-762.03455
439,-761.8238
440,-761.61334
441,-761.4031
442,-761.193
443,-760.9829
444,-760.773
445,-760.5632
446,-760.3534
447,-760.1437
448,-759.93396
449,-759.7243
450,-759.51465
451,-759.30505
452,-759.09546
453,-758.88586
454,-758.6763
455,-758.46674
456,-758.2572
457,-758.04767
458,-757.83813
459,-757.62866
460,-757.4192
461,-757.20966
462,-757.00024
463,-756.7908
464,-756.5813
465,-756.3718
466,-756.1624
467,-755.953
468,-755.74365
469,-755.5343
470,-755.3249
471,-755.1156
472,-754.90643
473,-754.6965
474,-754.48706
475,-754.2779
476,-754.069
477,-753.8603
478,-753.6517
479,-753.4431
480,-753.2347
481,-753.0263
482,-752.81805
483,-752.6097
484,-752.40155
485,-752.1933
