,loglik
0,-1631.6178
1,-1631.1914
2,-1630.7648
3,-1630.3381
4,-1629.9113
5,-1629.485
6,-1629.0587
7,-1628.6328
8,-1628.2072
9,-1627.7819
10,-1627.3566
11,-1626.9315
12,-1626.5067
13,-1626.0818
14,-1625.6569
15,-1625.2322
16,-1624.8073
17,-1624.3828
18,-1623.9581
19,-1623.5337
20,-1623.1094
21,-1622.6852
22,-1622.2609
23,-1621.8368
24,-1621.4127
25,-1620.989
26,-1620.5651
27,-1620.1412
28,-1619.7173
29,-1619.2935
30,-1618.8694
31,-1618.4453
32,-1618.0212
33,-1617.5968
34,-1617.1721
35,-1616.7474
36,-1616.3225
37,-1615.8969
38,-1615.471
39,-1614.9626
40,-1614.4667
41,-1613.9796
42,-1613.4996
43,-1613.0253
44,-1612.5563
45,-1612.0914
46,-1611.6301
47,-1611.1721
48,-1610.7172
49,-1610.2648
50,-1609.8147
51,-1609.3666
52,-1608.9203
53,-1608.4757
54,-1608.0326
55,-1607.591
56,-1607.1506
57,-1606.7112
58,-1606.2731
59,-1605.836
60,-1605.4
61,-1604.9644
62,-1604.5293
63,-1604.0944
64,-1603.659
65,-1603.2228
66,-1602.7858
67,-1602.3478
68,-1601.9097
69,-1601.4713
70,-1601.0334
71,-1600.5956
72,-1600.1581
73,-1599.721
74,-1599.2842
75,-1598.8478
76,-1598.4115
77,-1597.9757
78,-1597.5403
79,-1597.0455
80,-1596.5594
81,-1596.0797
82,-1595.6051
83,-1595.1348
84,-1594.6682
85,-1594.205
86,-1593.7444
87,-1593.2863
88,-1592.8303
89,-1592.3762
90,-1591.9241
91,-1591.4731
92,-1591.0237
93,-1590.5758
94,-1590.1287
95,-1589.6827
96,-1589.2377
97,-1588.7932
98,-1588.3496
99,-1587.9069
100,-1587.4645
101,-1587.023
102,-1586.5817
103,-1586.1411
104,-1585.7009
105,-1585.2609
106,-1584.8215
107,-1584.3824
108,-1583.9437
109,-1583.5052
110,-1583.067
111,-1582.629
112,-1582.1914
113,-1581.7539
114,-1581.3165
115,-1580.8796
116,-1580.4426
117,-1580.0059
118,-1579.5693
119,-1579.0923
120,-1578.6206
121,-1578.1531
122,-1577.6891
123,-1577.2279
124,-1576.7695
125,-1576.3134
126,-1575.859
127,-1575.4065
128,-1574.9556
129,-1574.5061
130,-1574.0576
131,-1573.6102
132,-1573.1642
133,-1572.719
134,-1572.2743
135,-1571.8306
136,-1571.3878
137,-1570.9456
138,-1570.5037
139,-1570.0625
140,-1569.6218
141,-1569.1816
142,-1568.742
143,-1568.3026
144,-1567.8638
145,-1567.4253
146,-1566.9872
147,-1566.5492
148,-1566.1116
149,-1565.6743
150,-1565.2372
151,-1564.8004
152,-1564.3639
153,-1563.8833
154,-1563.409
155,-1562.9393
156,-1562.4731
157,-1562.0095
158,-1561.5485
159,-1561.089
160,-1560.6315
161,-1560.1754
162,-1559.7206
163,-1559.2672
164,-1558.8147
165,-1558.363
166,-1557.9121
167,-1557.4622
168,-1557.0126
169,-1556.5638
170,-1556.1156
171,-1555.6677
172,-1555.2205
173,-1554.7734
174,-1554.3268
175,-1553.8806
176,-1553.4344
177,-1552.9888
178,-1552.5431
179,-1552.0978
180,-1551.6528
181,-1551.2079
182,-1550.7634
183,-1550.3188
184,-1549.8745
185,-1549.4304
186,-1548.9866
187,-1548.5426
188,-1548.099
189,-1547.6556
190,-1547.2123
191,-1546.7692
192,-1546.3262
193,-1545.85
194,-1545.38
195,-1544.9137
196,-1544.4509
197,-1543.9902
198,-1543.532
199,-1543.0753
200,-1542.6201
201,-1542.1664
202,-1541.7137
203,-1541.2622
204,-1540.8114
205,-1540.3616
206,-1539.9125
207,-1539.4642
208,-1539.0164
209,-1538.5693
210,-1538.1227
211,-1537.6764
212,-1537.2307
213,-1536.7854
214,-1536.3406
215,-1535.8961
216,-1535.4518
217,-1535.008
218,-1534.5643
219,-1534.1211
220,-1533.678
221,-1533.235
222,-1532.7925
223,-1532.3501
224,-1531.9078
225,-1531.4657
226,-1531.0237
227,-1530.582
228,-1530.1403
229,-1529.6987
230,-1529.2574
231,-1528.8159
232,-1528.3748
233,-1527.9043
234,-1527.438
235,-1526.9749
236,-1526.5139
237,-1526.0549
238,-1525.5978
239,-1525.1417
240,-1524.687
241,-1524.2333
242,-1523.7806
243,-1523.3287
244,-1522.8774
245,-1522.4271
246,-1521.9773
247,-1521.528
248,-1521.079
249,-1520.6305
250,-1520.1825
251,-1519.7349
252,-1519.2876
253,-1518.8406
254,-1518.394
255,-1517.9476
256,-1517.5016
257,-1517.0558
258,-1516.6102
259,-1516.1648
260,-1515.7196
261,-1515.2748
262,-1514.83
263,-1514.3856
264,-1513.9412
265,-1513.4972
266,-1513.0532
267,-1512.6096
268,-1512.1659
269,-1511.7227
270,-1511.2793
271,-1510.8364
272,-1510.3934
273,-1509.9302
274,-1509.47
275,-1509.0122
276,-1508.5563
277,-1508.1016
278,-1507.6484
279,-1507.1962
280,-1506.745
281,-1506.2948
282,-1505.8453
283,-1505.3965
284,-1504.9482
285,-1504.5006
