,loglik
0,-861.62256
1,-861.3724
2,-861.1225
3,-860.8726
4,-860.6229
5,-860.3733
6,-860.1237
7,-859.8742
8,-859.6249
9,-859.3756
10,-859.12646
11,-858.8774
12,-858.6284
13,-858.37946
14,-858.1306
15,-857.8818
16,-857.6331
17,-857.38434
18,-857.13574
19,-856.88715
20,-856.63873
21,-856.3903
22,-856.14185
23,-855.89355
24,-855.6454
25,-855.39716
26,-855.1491
27,-854.901
28,-854.6531
29,-854.4052
30,-854.1574
31,-853.9096
32,-853.66187
33,-853.4143
34,-853.1667
35,-852.9192
36,-852.6717
37,-852.42426
38,-852.1769
39,-851.9272
40,-851.6859
41,-851.4499
42,-851.21747
43,-850.9876
44,-850.75964
45,-850.5331
46,-850.3075
47,-850.08264
48,-849.85834
49,-849.63434
50,-849.4106
51,-849.187
52,-848.9635
53,-848.7399
54,-848.51624
55,-848.2925
56,-848.06866
57,-847.8446
58,-847.6204
59,-847.39606
60,-847.1716
61,-846.94684
62,-846.722
63,-846.49695
64,-846.2718
65,-846.04645
66,-845.821
67,-845.59546
68,-845.3698
69,-845.144
70,-844.9181
71,-844.69226
72,-844.46625
73,-844.2401
74,-844.01404
75,-843.78796
76,-843.56177
77,-843.33563
78,-843.1095
79,-842.7783
80,-842.46497
81,-842.163
82,-841.86945
83,-841.58234
84,-841.3005
85,-841.0229
86,-840.7488
87,-840.4778
88,-840.20935
89,-839.9431
90,-839.6787
91,-839.41614
92,-839.1549
93,-838.8951
94,-838.6363
95,-838.3785
96,-838.1215
97,-837.8655
98,-837.61005
99,-837.3553
100,-837.101
101,-836.84735
102,-836.59406
103,-836.34106
104,-836.08856
105,-835.83636
106,-835.5844
107,-835.33276
108,-835.0815
109,-834.8303
110,-834.57935
111,-834.32855
112,-834.07794
113,-833.82764
114,-833.57733
115,-833.32715
116,-833.07715
117,-832.82733
118,-832.5776
119,-832.291
120,-832.01105
121,-831.73535
122,-831.46295
123,-831.1931
124,-830.9253
125,-830.6593
126,-830.39465
127,-830.1314
128,-829.8692
129,-829.608
130,-829.3475
131,-829.0879
132,-828.8288
133,-828.57043
134,-828.3125
135,-828.055
136,-827.7981
137,-827.54144
138,-827.2853
139,-827.0293
140,-826.7738
141,-826.51843
142,-826.2634
143,-826.00854
144,-825.754
145,-825.4996
146,-825.2454
147,-824.9915
148,-824.7376
149,-824.4841
150,-824.2306
151,-823.97723
152,-823.72406
153,-823.47095
154,-823.218
155,-822.9652
156,-822.71246
157,-822.45996
158,-822.20746
159,-821.9384
160,-821.6577
161,-821.3806
162,-821.1062
163,-820.834
164,-820.5634
165,-820.2945
166,-820.02686
167,-819.7603
168,-819.49475
169,-819.23
170,-818.966
171,-818.70264
172,-818.44
173,-818.1778
174,-817.9161
175,-817.6547
176,-817.39386
177,-817.13324
178,-816.87305
179,-816.6131
180,-816.3534
181,-816.094
182,-815.8348
183,-815.57574
184,-815.31696
185,-815.0583
186,-814.7998
187,-814.54156
188,-814.2833
189,-814.02527
190,-813.7674
191,-813.5095
192,-813.25195
193,-812.9944
194,-812.7369
195,-812.4796
196,-812.22235
197,-811.96515
198,-811.708
199,-811.45105
200,-811.18536
201,-810.9213
202,-810.6583
203,-810.3963
204,-810.135
205,-809.8743
206,-809.61414
207,-809.3544
208,-809.09515
209,-808.83606
210,-808.57733
211,-808.319
212,-808.0609
213,-807.803
214,-807.5453
215,-807.2878
216,-807.03046
217,-806.77325
218,-806.5163
219,-806.25946
220,-806.0028
221,-805.74615
222,-805.48975
223,-805.2334
224,-804.97723
225,-804.72107
226,-804.46515
227,-804.20935
228,-803.9537
229,-803.69806
230,-803.4425
231,-803.187
232,-802.9317
233,-802.6766
234,-802.4214
235,-802.1664
236,-801.91144
237,-801.65656
238,-801.40186
239,-801.14716
240,-800.8848
241,-800.6236
