,loglik
0,-7754.7046
1,-7752.6323
2,-7750.561
3,-7748.4897
4,-7746.4194
5,-7744.349
6,-7742.28
7,-7740.211
8,-7738.142
9,-7736.0747
10,-7734.0073
11,-7731.9404
12,-7729.8735
13,-7727.807
14,-7725.742
15,-7723.6772
16,-7721.613
17,-7719.5483
18,-7717.485
19,-7715.422
20,-7713.3584
21,-7711.296
22,-7709.2334
23,-7707.1724
24,-7705.111
25,-7703.05
26,-7700.9897
27,-7698.9297
28,-7696.8696
29,-7694.811
30,-7692.7515
31,-7690.6934
32,-7688.635
33,-7686.577
34,-7684.5205
35,-7682.4634
36,-7680.407
37,-7678.3516
38,-7676.296
39,-7676.0425
40,-7675.711
41,-7675.3296
42,-7674.907
43,-7674.451
44,-7673.9624
45,-7673.4453
46,-7672.902
47,-7672.3315
48,-7671.7373
49,-7671.1196
50,-7670.48
51,-7669.8184
52,-7669.135
53,-7668.432
54,-7667.71
55,-7666.9688
56,-7666.2085
57,-7665.431
58,-7664.637
59,-7663.827
60,-7663.001
61,-7662.1597
62,-7661.3047
63,-7660.4355
64,-7659.5527
65,-7658.6587
66,-7657.751
67,-7656.8335
68,-7655.904
69,-7654.965
70,-7654.0156
71,-7653.057
72,-7652.0903
73,-7651.1147
74,-7650.1323
75,-7649.1416
76,-7648.144
77,-7647.1406
78,-7646.131
79,-7644.4233
80,-7642.79
81,-7641.204
82,-7639.655
83,-7638.135
84,-7636.639
85,-7635.1636
86,-7633.706
87,-7632.262
88,-7630.831
89,-7629.412
90,-7628.0024
91,-7626.6025
92,-7625.21
93,-7623.8247
94,-7622.4463
95,-7621.0723
96,-7619.704
97,-7618.3413
98,-7616.9824
99,-7615.626
100,-7614.275
101,-7612.927
102,-7611.581
103,-7610.239
104,-7608.8984
105,-7607.561
106,-7606.2246
107,-7604.891
108,-7603.559
109,-7602.229
110,-7600.9
111,-7599.5728
112,-7598.2466
113,-7596.922
114,-7595.598
115,-7594.275
116,-7592.9536
117,-7591.633
118,-7590.3125
119,-7588.2534
120,-7586.3022
121,-7584.4194
122,-7582.585
123,-7580.79
124,-7579.0254
125,-7577.287
126,-7575.5713
127,-7573.8726
128,-7572.1904
129,-7570.5225
130,-7568.8667
131,-7567.222
132,-7565.5874
133,-7563.961
134,-7562.342
135,-7560.73
136,-7559.124
137,-7557.5244
138,-7555.9297
139,-7554.34
140,-7552.7534
141,-7551.172
142,-7549.5938
143,-7548.0186
144,-7546.4463
145,-7544.8765
146,-7543.31
147,-7541.7446
148,-7540.183
149,-7538.623
150,-7537.065
151,-7535.5073
152,-7533.952
153,-7532.3984
154,-7530.847
155,-7529.296
156,-7527.746
157,-7526.1987
158,-7524.651
159,-7522.5474
160,-7520.529
161,-7518.566
162,-7516.643
163,-7514.7505
164,-7512.884
165,-7511.037
166,-7509.2085
167,-7507.395
168,-7505.5938
169,-7503.8037
170,-7502.023
171,-7499.931
172,-7497.8936
173,-7495.895
174,-7493.9263
175,-7491.98
176,-7490.0522
177,-7488.1416
178,-7486.2437
179,-7484.358
180,-7482.4824
181,-7480.615
182,-7478.756
183,-7476.903
184,-7475.056
185,-7473.2144
186,-7471.3774
187,-7469.545
188,-7467.7163
189,-7465.891
190,-7464.0684
191,-7462.25
192,-7460.432
193,-7458.618
194,-7456.806
195,-7454.9956
196,-7453.1865
197,-7451.38
198,-7449.5747
199,-7447.7705
200,-7445.9673
201,-7444.166
202,-7442.366
203,-7440.5674
204,-7438.7686
205,-7436.9717
206,-7435.1753
207,-7433.38
208,-7431.585
209,-7429.791
210,-7427.9976
211,-7425.98
212,-7424.0005
213,-7422.0435
214,-7420.1035
215,-7418.1777
216,-7416.263
217,-7414.357
218,-7412.4585
219,-7410.567
220,-7408.6807
221,-7406.799
222,-7404.9224
223,-7403.049
224,-7401.1787
225,-7399.311
226,-7397.4473
227,-7395.585
228,-7393.7246
229,-7391.866
230,-7390.01
231,-7388.155
232,-7386.3013
233,-7384.4487
234,-7382.597
235,-7380.7476
236,-7378.8975
237,-7377.049
238,-7375.201
239,-7373.355
240,-7371.509
241,-7369.662
242,-7367.8174
243,-7365.973
244,-7364.1284
245,-7362.286
246,-7360.4434
247,-7358.601
248,-7356.76
249,-7354.918
250,-7353.077
251,-7351.096
252,-7349.1396
253,-7347.1997
254,-7345.2725
255,-7343.3535
256,-7341.443
257,-7339.5386
258,-7337.641
259,-7335.746
260,-7333.8574
261,-7331.971
262,-7330.088
263,-7328.208
264,-7326.331
265,-7324.455
266,-7322.5825
267,-7320.711
268,-7318.8403
269,-7316.9717
270,-7315.105
271,-7313.2393
272,-7311.375
273,-7309.511
274,-7307.648
275,-7305.786
276,-7303.925
277,-7302.065
278,-7300.2056
279,-7298.346
280,-7296.488
281,-7294.63
282,-7292.773
283,-7290.916
284,-7289.059
285,-7287.203
286,-7285.347
287,-7283.492
288,-7281.637
289,-7279.782
290,-7277.9287
291,-7275.969
292,-7274.0273
293,-7272.096
294,-7270.174
295,-7268.259
296,-7266.347
297,-7264.442
298,-7262.54
299,-7260.6416
300,-7258.746
301,-7256.8525
302,-7254.962
303,-7253.0723
304,-7251.1855
305,-7249.3
306,-7247.4155
307,-7245.532
308,-7243.651
309,-7241.7705
310,-7239.891
311,-7238.012
312,-7236.135
313,-7234.258
314,-7232.382
315,-7230.506
316,-7228.632
317,-7226.758
318,-7224.885
319,-7223.011
320,-7221.139
321,-7219.2676
322,-7217.396
323,-7215.525
324,-7213.5757
325,-7211.638
326,-7209.709
327,-7207.787
328,-7205.8696
329,-7203.9565
330,-7202.047
331,-7200.1396
332,-7198.235
333,-7196.3325
334,-7194.4316
335,-7192.532
336,-7190.6343
337,-7188.738
338,-7186.8423
339,-7184.9473
340,-7183.0537
341,-7181.1606
342,-7179.2676
343,-7177.376
344,-7175.485
345,-7173.5938
346,-7171.7036
347,-7169.8135
348,-7167.9243
349,-7166.0347
350,-7164.146
351,-7162.259
352,-7160.371
353,-7158.4834
354,-7156.5967
355,-7154.71
356,-7152.8237
357,-7150.9375
358,-7149.0522
359,-7147.1665
360,-7145.2817
361,-7143.3975
362,-7141.513
363,-7139.6294
364,-7137.6816
365,-7135.748
366,-7133.8228
367,-7131.904
368,-7129.989
369,-7128.078
370,-7126.17
371,-7124.2646
372,-7122.362
373,-7120.4604
374,-7118.561
375,-7116.662
376,-7114.7656
377,-7112.8696
378,-7110.9756
379,-7109.0815
380,-7107.1895
381,-7105.2974
382,-7103.4062
383,-7101.516
384,-7099.626
385,-7097.7373
386,-7095.849
387,-7093.962
388,-7092.074
389,-7090.188
390,-7088.302
391,-7086.416
392,-7084.5312
393,-7082.646
394,-7080.762
395,-7078.8784
396,-7076.9946
397,-7075.1123
398,-7073.23
399,-7071.347
400,-7069.4653
401,-7067.584
402,-7065.7036
403,-7063.8228
404,-7061.909
405,-7060.003
406,-7058.1006
407,-7056.202
408,-7054.307
409,-7052.4136
410,-7050.5225
411,-7048.633
412,-7046.7446
413,-7044.858
414,-7042.972
415,-7041.0874
416,-7039.2036
417,-7037.3203
418,-7035.438
419,-7033.5557
420,-7031.674
421,-7029.7925
422,-7027.9116
423,-7026.0312
424,-7024.152
425,-7022.2715
426,-7020.3926
427,-7018.5137
428,-7016.6343
429,-7014.756
430,-7012.8774
431,-7010.999
432,-7009.121
433,-7007.244
434,-7005.366
435,-7003.4893
436,-7001.613
437,-6999.7363
438,-6997.8594
439,-6995.9834
440,-6994.1074
441,-6992.2324
442,-6990.357
443,-6988.482
444,-6986.576
445,-6984.6772
446,-6982.782
447,-6980.8906
448,-6979.001
449,-6977.1123
450,-6975.226
451,-6973.3413
452,-6971.4575
453,-6969.5747
454,-6967.692
455,-6965.8105
456,-6963.9297
457,-6962.05
458,-6960.1694
459,-6958.29
460,-6956.411
461,-6954.532
462,-6952.655
463,-6950.776
464,-6948.8994
465,-6947.0225
466,-6945.145
467,-6943.2686
468,-6941.393
469,-6939.5176
470,-6937.6426
471,-6935.768
472,-6933.8936
473,-6932.02
474,-6930.146
475,-6928.273
476,-6926.4
477,-6924.506
478,-6922.6167
479,-6920.73
480,-6918.8457
481,-6916.9624
482,-6915.0815
483,-6913.201
484,-6911.3223
485,-6909.4443
486,-6907.567
487,-6905.69
488,-6903.8135
489,-6901.9375
490,-6900.0625
491,-6898.1865
492,-6896.3125
493,-6894.438
494,-6892.5635
495,-6890.69
496,-6888.816
497,-6886.9424
498,-6885.07
499,-6883.1963
500,-6881.3237
501,-6879.451
502,-6877.5786
503,-6875.706
504,-6873.8335
505,-6871.961
506,-6870.0894
507,-6868.2173
508,-6866.3457
509,-6864.4736
510,-6862.6025
511,-6860.731
512,-6858.8584
513,-6856.988
514,-6855.1167
515,-6853.246
516,-6851.375
517,-6849.49
518,-6847.61
519,-6845.733
520,-6843.8574
521,-6841.9824
522,-6840.11
523,-6838.2373
524,-6836.366
525,-6834.4956
526,-6832.625
527,-6830.755
528,-6828.885
529,-6827.0156
530,-6825.1465
531,-6823.278
532,-6821.409
533,-6819.541
534,-6817.673
535,-6815.8047
536,-6813.9365
537,-6812.07
538,-6810.202
539,-6808.3354
540,-6806.4688
541,-6804.6016
542,-6802.7354
543,-6800.8687
544,-6799.0024
545,-6797.136
546,-6795.27
547,-6793.4043
548,-6791.5386
549,-6789.673
550,-6787.807
551,-6785.943
552,-6784.077
553,-6782.2134
554,-6780.3486
555,-6778.4844
556,-6776.6206
557,-6774.7256
