,loglik
0,-861.62256
1,-861.3724
2,-861.1225
3,-860.8726
4,-860.6229
5,-860.3733
6,-860.1237
7,-859.8742
8,-859.6249
9,-859.3756
10,-859.12646
11,-858.8774
12,-858.6284
13,-858.37946
14,-858.1306
15,-857.8818
16,-857.6331
17,-857.38434
18,-857.13574
19,-856.88715
20,-856.63873
21,-856.3903
22,-856.14185
23,-855.89355
24,-855.6454
25,-855.39716
26,-855.1491
27,-854.901
28,-854.6531
29,-854.4052
30,-854.1574
31,-853.9096
32,-853.66187
33,-853.4143
34,-853.1667
35,-852.9192
36,-852.6717
37,-852.42426
38,-852.1769
39,-851.9248
40,-851.6735
41,-851.4228
42,-851.1724
43,-850.9223
44,-850.6726
45,-850.4233
46,-850.17413
47,-849.9253
48,-849.67664
49,-849.42834
50,-849.18024
51,-848.9323
52,-848.6846
53,-848.437
54,-848.1895
55,-847.9421
56,-847.69464
57,-847.4473
58,-847.1999
59,-846.9526
60,-846.70514
61,-846.45776
62,-846.21045
63,-845.96313
64,-845.7157
65,-845.4683
66,-845.221
67,-844.9736
68,-844.72626
69,-844.47894
70,-844.2316
71,-843.9844
72,-843.7372
73,-843.49
74,-843.2428
75,-842.9956
76,-842.7485
77,-842.5015
78,-842.2545
79,-842.00415
80,-841.7542
81,-841.50464
82,-841.25543
83,-841.0066
84,-840.75793
85,-840.5095
86,-840.2612
87,-840.01324
88,-839.76544
89,-839.5178
90,-839.2702
91,-839.02277
92,-838.77563
93,-838.52844
94,-838.2814
95,-838.0344
96,-837.78766
97,-837.541
98,-837.2944
99,-837.04785
100,-836.80145
101,-836.5551
102,-836.30884
103,-836.0626
104,-835.8164
105,-835.5703
106,-835.3243
107,-835.07825
108,-834.83234
109,-834.5865
110,-834.3406
111,-834.09485
112,-833.84906
113,-833.6034
114,-833.3577
115,-833.1122
116,-832.8667
117,-832.6212
118,-832.3759
119,-832.127
120,-831.8787
121,-831.63086
122,-831.3834
123,-831.1362
124,-830.88934
125,-830.64264
126,-830.39624
127,-830.15015
128,-829.90405
129,-829.6582
130,-829.4125
131,-829.167
132,-828.9216
133,-828.6762
134,-828.43097
135,-828.1859
136,-827.9409
137,-827.69604
138,-827.4513
139,-827.20654
140,-826.9619
141,-826.71747
142,-826.47296
143,-826.22864
144,-825.9844
145,-825.7401
146,-825.4961
147,-825.25195
148,-825.00806
149,-824.76404
150,-824.5202
151,-824.27637
152,-824.0292
153,-823.7825
154,-823.5363
155,-823.29034
156,-823.04474
157,-822.7994
158,-822.55426
159,-822.3093
160,-822.0647
161,-821.8201
162,-821.5759
163,-821.3317
164,-821.08765
165,-820.84375
166,-820.59985
167,-820.3562
168,-820.11273
169,-819.86926
170,-819.626
171,-819.3828
172,-819.13965
173,-818.8966
174,-818.65375
175,-818.41095
176,-818.1681
177,-817.9255
178,-817.6828
179,-817.4403
180,-817.1978
181,-816.95544
182,-816.71313
183,-816.47095
184,-816.22876
185,-815.98663
186,-815.74457
187,-815.5026
188,-815.2607
189,-815.0188
190,-814.77704
191,-814.5353
192,-814.2909
193,-814.0469
194,-813.803
195,-813.55945
196,-813.31616
197,-813.0731
198,-812.8304
199,-812.58777
200,-812.3453
201,-812.1031
202,-811.861
203,-811.619
204,-811.3772
205,-811.1354
206,-810.89374
207,-810.6522
208,-810.4108
209,-810.1695
210,-809.9283
211,-809.6872
212,-809.4461
213,-809.20514
214,-808.9643
215,-808.7235
216,-808.4828
217,-808.2422
218,-808.00165
219,-807.76117
220,-807.52075
221,-807.28046
222,-807.0402
223,-806.80005
224,-806.56
225,-806.3199
226,-806.07983
227,-805.83984
228,-805.59985
229,-805.3598
230,-805.1198
231,-804.88
232,-804.6363
233,-804.39325
234,-804.1507
235,-803.90845
236,-803.6666
237,-803.425
238,-803.1837
239,-802.9426
240,-802.7018
