,loglik
0,-1631.6178
1,-1631.1914
2,-1630.7648
3,-1630.3381
4,-1629.9113
5,-1629.485
6,-1629.0587
7,-1628.6328
8,-1628.2072
9,-1627.7819
10,-1627.3566
11,-1626.9315
12,-1626.5067
13,-1626.0818
14,-1625.6569
15,-1625.2322
16,-1624.8073
17,-1624.3828
18,-1623.9581
19,-1623.5337
20,-1623.1094
21,-1622.6852
22,-1622.2609
23,-1621.8368
24,-1621.4127
25,-1620.989
26,-1620.5651
27,-1620.1412
28,-1619.7173
29,-1619.2935
30,-1618.8694
31,-1618.4453
32,-1618.0212
33,-1617.5968
34,-1617.1721
35,-1616.7474
36,-1616.3225
37,-1615.8969
38,-1615.471
39,-1615.25
40,-1615.0237
41,-1614.7927
42,-1614.5582
43,-1614.32
44,-1614.0786
45,-1613.834
46,-1613.5865
47,-1613.336
48,-1613.0831
49,-1612.8275
50,-1612.5695
51,-1612.3091
52,-1612.0463
53,-1611.7812
54,-1611.514
55,-1611.2446
56,-1610.9733
57,-1610.7
58,-1610.4248
59,-1610.148
60,-1609.8695
61,-1609.5894
62,-1609.3077
63,-1609.0248
64,-1608.7406
65,-1608.455
66,-1608.1685
67,-1607.8806
68,-1607.5918
69,-1607.3021
70,-1607.0115
71,-1606.72
72,-1606.4277
73,-1606.135
74,-1605.8412
75,-1605.547
76,-1605.2522
77,-1604.9567
78,-1604.6608
79,-1604.0723
80,-1603.532
81,-1603.0215
82,-1602.5321
83,-1602.0587
84,-1601.5978
85,-1601.147
86,-1600.7047
87,-1600.2693
88,-1599.84
89,-1599.4156
90,-1598.9956
91,-1598.5793
92,-1598.1665
93,-1597.7565
94,-1597.349
95,-1596.9437
96,-1596.5406
97,-1596.139
98,-1595.739
99,-1595.3405
100,-1594.9431
101,-1594.5469
102,-1594.1515
103,-1593.7573
104,-1593.3638
105,-1592.971
106,-1592.5787
107,-1592.1871
108,-1591.796
109,-1591.4058
110,-1591.0156
111,-1590.6259
112,-1590.2367
113,-1589.8478
114,-1589.4592
115,-1589.0709
116,-1588.683
117,-1588.2952
118,-1587.9075
119,-1587.3317
120,-1586.7885
121,-1586.2656
122,-1585.7574
123,-1585.2606
124,-1584.7728
125,-1584.2921
126,-1583.818
127,-1583.3489
128,-1582.8844
129,-1582.4235
130,-1581.9661
131,-1581.5114
132,-1581.0594
133,-1580.6096
134,-1580.1619
135,-1579.7157
136,-1579.2712
137,-1578.8281
138,-1578.3862
139,-1577.9454
140,-1577.5056
141,-1577.0669
142,-1576.6287
143,-1576.1914
144,-1575.7548
145,-1575.3188
146,-1574.8833
147,-1574.4484
148,-1574.0139
149,-1573.5798
150,-1573.1462
151,-1572.7129
152,-1572.2802
153,-1571.8474
154,-1571.4153
155,-1570.9833
156,-1570.5515
157,-1570.1201
158,-1569.6888
159,-1569.1798
160,-1568.6847
161,-1568.1986
162,-1567.719
163,-1567.2445
164,-1566.7396
165,-1566.2444
166,-1565.7556
167,-1565.2721
168,-1564.7931
169,-1564.3177
170,-1563.8456
171,-1563.3761
172,-1562.9088
173,-1562.4437
174,-1561.9805
175,-1561.5187
176,-1561.0583
177,-1560.5994
178,-1560.1415
179,-1559.6843
180,-1559.2284
181,-1558.7731
182,-1558.3187
183,-1557.865
184,-1557.4117
185,-1556.9592
186,-1556.507
187,-1556.0554
188,-1555.6041
189,-1555.1534
190,-1554.7031
191,-1554.253
192,-1553.8033
193,-1553.354
194,-1552.9049
195,-1552.4562
196,-1552.0078
197,-1551.5594
198,-1551.1116
199,-1550.6637
200,-1550.2162
201,-1549.7689
202,-1549.3217
203,-1548.8748
204,-1548.3982
205,-1547.9264
206,-1547.4575
207,-1546.9912
208,-1546.5267
209,-1546.0638
210,-1545.6024
211,-1545.142
212,-1544.6826
213,-1544.2242
214,-1543.7665
215,-1543.3093
216,-1542.8531
217,-1542.3973
218,-1541.942
219,-1541.4872
220,-1541.0328
221,-1540.5787
222,-1540.1251
223,-1539.6719
224,-1539.2189
225,-1538.7662
226,-1538.3138
227,-1537.8618
228,-1537.4099
229,-1536.9584
230,-1536.507
231,-1536.0558
232,-1535.6049
233,-1535.1542
234,-1534.7037
235,-1534.2534
236,-1533.8031
237,-1533.3531
238,-1532.9032
239,-1532.4536
240,-1532.0044
241,-1531.5549
242,-1531.1057
243,-1530.6569
244,-1530.1917
245,-1529.7296
246,-1529.269
247,-1528.8103
248,-1528.3528
249,-1527.8961
250,-1527.4403
251,-1526.9852
252,-1526.5308
253,-1526.077
254,-1525.6235
255,-1525.1705
256,-1524.7181
257,-1524.2659
258,-1523.8141
259,-1523.3627
260,-1522.9114
261,-1522.4604
262,-1522.0096
263,-1521.5591
264,-1521.1089
265,-1520.6587
266,-1520.2089
267,-1519.7592
268,-1519.3097
269,-1518.8602
270,-1518.4113
271,-1517.9622
272,-1517.5134
273,-1517.0647
274,-1516.6161
275,-1516.1676
276,-1515.7194
277,-1515.2712
278,-1514.8232
279,-1514.3755
280,-1513.9276
281,-1513.48
282,-1513.0325
283,-1512.5853
284,-1512.1222
285,-1511.6615
