,loglik
0,-861.62256
1,-861.3724
2,-861.1225
3,-860.8726
4,-860.6229
5,-860.3733
6,-860.1237
7,-859.8742
8,-859.6249
9,-859.3756
10,-859.12646
11,-858.8774
12,-858.6284
13,-858.37946
14,-858.1306
15,-857.8818
16,-857.6331
17,-857.38434
18,-857.13574
19,-856.88715
20,-856.63873
21,-856.3903
22,-856.14185
23,-855.89355
24,-855.6454
25,-855.39716
26,-855.1491
27,-854.901
28,-854.6531
29,-854.4052
30,-854.1574
31,-853.9096
32,-853.66187
33,-853.4143
34,-853.1667
35,-852.9192
36,-852.6717
37,-852.42426
38,-852.1769
39,-851.89966
40,-851.627
41,-851.35754
42,-851.0907
43,-850.8259
44,-850.5629
45,-850.30164
46,-850.0416
47,-849.7829
48,-849.52515
49,-849.2685
50,-849.01245
51,-848.7573
52,-848.5028
53,-848.2489
54,-847.99554
55,-847.7426
56,-847.49023
57,-847.2381
58,-846.98645
59,-846.73505
60,-846.4839
61,-846.233
62,-845.9823
63,-845.7319
64,-845.48145
65,-845.2314
66,-844.9813
67,-844.7314
68,-844.4817
69,-844.2321
70,-843.98254
71,-843.7331
72,-843.4839
73,-843.2347
74,-842.9856
75,-842.73663
76,-842.48773
77,-842.23895
78,-841.9903
79,-841.72015
80,-841.4529
81,-841.18774
82,-840.9247
83,-840.6631
84,-840.4032
85,-840.14435
86,-839.8867
87,-839.63
88,-839.3742
89,-839.1192
90,-838.8649
91,-838.6112
92,-838.3581
93,-838.1055
94,-837.8535
95,-837.6018
96,-837.35046
97,-837.0996
98,-836.8489
99,-836.5986
100,-836.3486
101,-836.09875
102,-835.8493
103,-835.6
104,-835.35077
105,-835.10187
106,-834.8531
107,-834.6045
108,-834.3561
109,-834.10767
110,-833.8595
111,-833.61145
112,-833.3635
113,-833.11566
114,-832.8679
115,-832.6203
116,-832.3728
117,-832.1253
118,-831.87787
119,-831.6123
120,-831.34937
121,-831.0882
122,-830.8287
123,-830.57043
124,-830.3134
125,-830.0573
126,-829.80225
127,-829.548
128,-829.2944
129,-829.04144
130,-828.7891
131,-828.53735
132,-828.2859
133,-828.03503
134,-827.7845
135,-827.5344
136,-827.2845
137,-827.035
138,-826.78577
139,-826.53687
140,-826.288
141,-826.0395
142,-825.79114
143,-825.54297
144,-825.295
145,-825.0471
146,-824.7994
147,-824.5519
148,-824.30444
149,-824.0572
150,-823.81
151,-823.5629
152,-823.3161
153,-823.0558
154,-822.7971
155,-822.5398
156,-822.2838
157,-822.0288
158,-821.77466
159,-821.52136
160,-821.26874
161,-821.01685
162,-820.76544
163,-820.51465
164,-820.26434
165,-820.01434
166,-819.76483
167,-819.5156
168,-819.2668
169,-819.0182
170,-818.7699
171,-818.52185
172,-818.274
173,-818.02637
174,-817.779
175,-817.5317
176,-817.28467
177,-817.0377
178,-816.791
179,-816.5444
180,-816.29785
181,-816.0516
182,-815.8053
183,-815.5592
184,-815.3132
185,-815.0673
186,-814.82153
187,-814.57574
188,-814.3302
189,-814.0848
190,-813.83936
191,-813.59406
192,-813.3488
193,-813.0932
194,-812.83905
195,-812.58606
196,-812.3342
197,-812.0831
198,-811.8328
199,-811.5831
200,-811.334
201,-811.08545
202,-810.83746
203,-810.58984
204,-810.34265
205,-810.09576
206,-809.8493
207,-809.6031
208,-809.3571
209,-809.11145
210,-808.8659
211,-808.6208
212,-808.3757
213,-808.1309
214,-807.8862
215,-807.6418
216,-807.39734
217,-807.15326
218,-806.9092
219,-806.6653
220,-806.4216
221,-806.17786
222,-805.93445
223,-805.691
224,-805.44763
225,-805.2044
226,-804.9613
227,-804.71826
228,-804.4754
229,-804.2325
230,-803.98975
231,-803.747
232,-803.50446
233,-803.2515
234,-803.0
235,-802.74945
236,-802.49976
237,-802.2509
238,-802.00275
239,-801.7552
240,-801.5082
