,loglik
0,-15438.585
1,-15434.495
2,-15430.407
3,-15426.319
4,-15422.233
5,-15418.147
6,-15414.063
7,-15409.98
8,-15405.898
9,-15401.818
10,-15397.738
11,-15393.659
12,-15389.582
13,-15385.506
14,-15381.431
15,-15377.355
16,-15373.282
17,-15369.211
18,-15365.139
19,-15361.067
20,-15356.997
21,-15352.927
22,-15348.859
23,-15344.792
24,-15340.725
25,-15336.659
26,-15332.595
27,-15328.529
28,-15324.466
29,-15320.402
30,-15316.342
31,-15312.279
32,-15308.22
33,-15304.159
34,-15300.101
35,-15296.042
36,-15291.984
37,-15287.93
38,-15283.873
39,-15283.337
40,-15282.654
41,-15281.877
42,-15281.02
43,-15280.095
44,-15279.109
45,-15278.065
46,-15276.969
47,-15275.819
48,-15274.623
49,-15273.38
50,-15272.09
51,-15270.755
52,-15269.38
53,-15267.962
54,-15266.505
55,-15265.009
56,-15263.476
57,-15261.907
58,-15260.304
59,-15258.666
60,-15256.997
61,-15255.297
62,-15253.567
63,-15251.8125
64,-15250.027
65,-15248.216
66,-15246.38
67,-15244.522
68,-15242.641
69,-15240.739
70,-15238.817
71,-15236.877
72,-15234.918
73,-15232.942
74,-15230.952
75,-15228.944
76,-15226.925
77,-15224.89
78,-15222.845
79,-15219.747
80,-15216.737
81,-15213.792
82,-15210.895
83,-15208.04
84,-15205.22
85,-15202.429
86,-15199.662
87,-15196.92
88,-15194.194
89,-15191.488
90,-15188.797
91,-15186.12
92,-15183.457
93,-15180.802
94,-15178.161
95,-15175.527
96,-15172.902
97,-15170.284
98,-15167.675
99,-15165.072
100,-15162.475
101,-15159.882
102,-15157.296
103,-15154.715
104,-15152.136
105,-15149.5625
106,-15146.993
107,-15144.427
108,-15141.864
109,-15139.304
110,-15136.747
111,-15134.192
112,-15131.64
113,-15129.09
114,-15126.542
115,-15123.997
116,-15121.453
117,-15118.912
118,-15116.372
119,-15112.672
120,-15109.13
121,-15105.692
122,-15102.333
123,-15099.036
124,-15095.792
125,-15092.589
126,-15089.424
127,-15086.29
128,-15083.184
129,-15080.103
130,-15077.042
131,-15074.002
132,-15070.98
133,-15067.975
134,-15064.98
135,-15062.002
136,-15059.032
137,-15056.074
138,-15053.126
139,-15050.1875
140,-15047.255
141,-15044.331
142,-15041.412
143,-15038.502
144,-15035.597
145,-15032.696
146,-15029.8
147,-15026.908
148,-15024.022
149,-15021.139
150,-15018.259
151,-15015.381
152,-15012.507
153,-15009.637
154,-15006.768
155,-15003.902
156,-15001.04
157,-14998.177
158,-14995.317
159,-14991.449
160,-14987.725
161,-14984.092
162,-14980.529
163,-14977.022
164,-14973.56
165,-14970.135
166,-14966.741
167,-14963.377
168,-14960.036
169,-14956.717
170,-14952.732
171,-14948.859
172,-14945.067
173,-14941.337
174,-14937.656
175,-14934.016
176,-14930.409
177,-14926.832
178,-14923.282
179,-14919.753
180,-14916.242
181,-14912.75
182,-14909.272
183,-14905.809
184,-14902.357
185,-14898.916
186,-14895.483
187,-14892.061
188,-14888.6455
189,-14885.237
190,-14881.837
191,-14878.442
192,-14875.052
193,-14871.667
194,-14868.287
195,-14864.911
196,-14861.54
197,-14858.17
198,-14854.805
199,-14851.442
200,-14848.083
201,-14844.725
202,-14841.372
203,-14838.02
204,-14834.67
205,-14831.319
206,-14827.975
207,-14824.63
208,-14821.287
209,-14817.944
210,-14814.063
211,-14810.262
212,-14806.512
213,-14802.8
214,-14799.12
215,-14795.465
216,-14791.832
217,-14788.217
218,-14784.617
219,-14781.031
220,-14777.455
221,-14773.893
222,-14770.337
223,-14766.788
224,-14763.25
225,-14759.716
226,-14756.1875
227,-14752.665
228,-14749.147
229,-14745.632
230,-14742.122
231,-14738.617
232,-14735.112
233,-14731.612
234,-14728.113
235,-14724.617
236,-14721.125
237,-14717.634
238,-14714.145
239,-14710.657
240,-14707.172
241,-14703.6875
242,-14700.203
243,-14696.723
244,-14693.242
245,-14689.764
246,-14686.285
247,-14682.81
248,-14679.332
249,-14675.858
250,-14671.9795
251,-14668.171
252,-14664.41
253,-14660.679
254,-14656.975
255,-14653.29
256,-14649.622
257,-14645.97
258,-14642.33
259,-14638.697
260,-14635.077
261,-14631.462
262,-14627.857
263,-14624.256
264,-14620.662
265,-14617.072
266,-14613.484
267,-14609.904
268,-14606.327
269,-14602.752
270,-14599.181
271,-14595.612
272,-14592.046
273,-14588.482
274,-14584.922
275,-14581.362
276,-14577.805
277,-14574.248
278,-14570.694
279,-14567.143
280,-14563.591
281,-14560.042
282,-14556.495
283,-14552.947
284,-14549.401
285,-14545.857
286,-14542.3125
287,-14538.77
288,-14535.229
289,-14531.6875
290,-14527.857
291,-14524.074
292,-14520.323
293,-14516.598
294,-14512.889
295,-14509.194
296,-14505.512
297,-14501.842
298,-14498.18
299,-14494.524
300,-14490.877
301,-14487.234
302,-14483.6
303,-14479.967
304,-14476.34
305,-14472.715
306,-14469.095
307,-14465.476
308,-14461.861
309,-14458.25
310,-14454.639
311,-14451.031
312,-14447.425
313,-14443.819
314,-14440.219
315,-14436.617
316,-14433.018
317,-14429.42
318,-14425.823
319,-14422.229
320,-14418.635
321,-14415.041
322,-14411.449
323,-14407.665
324,-14403.912
325,-14400.183
326,-14396.469
327,-14392.768
328,-14389.076
329,-14385.394
330,-14381.719
331,-14378.05
332,-14374.385
333,-14370.726
334,-14367.071
335,-14363.418
336,-14359.77
337,-14356.125
338,-14352.48
339,-14348.84
340,-14345.201
341,-14341.563
342,-14337.927
343,-14334.293
344,-14330.661
345,-14327.029
346,-14323.399
347,-14319.77
348,-14316.143
349,-14312.515
350,-14308.89
351,-14305.265
352,-14301.641
353,-14298.018
354,-14294.395
355,-14290.773
356,-14287.152
357,-14283.532
358,-14279.912
359,-14276.293
360,-14272.675
361,-14269.059
362,-14265.439
363,-14261.677
364,-14257.942
365,-14254.226
366,-14250.5205
367,-14246.827
368,-14243.143
369,-14239.462
370,-14235.79
371,-14232.121
372,-14228.457
373,-14224.796
374,-14221.139
375,-14217.484
376,-14213.832
377,-14210.183
378,-14206.535
379,-14202.887
380,-14199.242
381,-14195.6
382,-14191.957
383,-14188.317
