,loglik
0,-855.9908
1,-855.7719
2,-855.55304
3,-855.33405
4,-855.1152
5,-854.8962
6,-854.6772
7,-854.4583
8,-854.2393
9,-854.0203
10,-853.80133
11,-853.5823
12,-853.3633
13,-853.1441
14,-852.92487
15,-852.7055
16,-852.486
17,-852.2663
18,-852.0466
19,-851.82654
20,-851.6063
21,-851.38605
22,-851.1655
23,-850.9448
24,-850.72406
25,-850.5032
26,-850.2819
27,-850.06067
28,-849.8392
29,-849.61743
30,-849.39557
31,-849.17346
32,-848.9512
33,-848.7287
34,-848.50604
35,-848.28314
36,-848.0602
37,-847.8369
38,-847.6136
39,-847.3797
40,-847.1479
41,-846.9175
42,-846.68805
43,-846.4593
44,-846.23114
45,-846.0036
46,-845.77637
47,-845.54956
48,-845.323
49,-845.0967
50,-844.87054
51,-844.64465
52,-844.41895
53,-844.19336
54,-843.9679
55,-843.7426
56,-843.51733
57,-843.29224
58,-843.06714
59,-842.84216
60,-842.6173
61,-842.3925
62,-842.16766
63,-841.94293
64,-841.71826
65,-841.4936
66,-841.269
67,-841.0443
68,-840.81976
69,-840.59515
70,-840.37067
71,-840.1462
72,-839.9217
73,-839.6971
74,-839.47253
75,-839.24805
76,-839.02356
77,-838.7989
78,-838.5744
79,-838.3455
80,-838.1175
81,-837.8899
82,-837.6626
83,-837.4357
84,-837.20917
85,-836.9827
86,-836.75653
87,-836.5305
88,-836.30475
89,-836.079
90,-835.8534
91,-835.62787
92,-835.40247
93,-835.1772
94,-834.9519
95,-834.72675
96,-834.50165
97,-834.2767
98,-834.0517
99,-833.8268
100,-833.60205
101,-833.3773
102,-833.1526
103,-832.92804
104,-832.7034
105,-832.47894
106,-832.25446
107,-832.0301
108,-831.8058
109,-831.58154
110,-831.3573
111,-831.1331
112,-830.90906
113,-830.685
114,-830.46094
115,-830.237
116,-830.01306
117,-829.7892
118,-829.5653
119,-829.3404
120,-829.11566
121,-828.8912
122,-828.66693
123,-828.44293
124,-828.2192
125,-827.99554
126,-827.77216
127,-827.5489
128,-827.3258
129,-827.1028
130,-826.88007
131,-826.6573
132,-826.4347
133,-826.21216
134,-825.98975
135,-825.76733
136,-825.54517
137,-825.323
138,-825.1009
139,-824.87885
140,-824.6569
141,-824.43506
142,-824.2133
143,-823.9915
144,-823.7699
145,-823.5483
146,-823.32666
147,-823.1052
148,-822.8838
149,-822.6624
150,-822.441
151,-822.21967
152,-821.9984
153,-821.77716
154,-821.5569
155,-821.33655
156,-821.1163
157,-820.8962
158,-820.6761
159,-820.4562
160,-820.2362
161,-820.0164
162,-819.79663
163,-819.57684
164,-819.3571
165,-819.1374
166,-818.9177
167,-818.69806
168,-818.4783
169,-818.25867
170,-818.03894
171,-817.81915
172,-817.5993
173,-817.3795
174,-817.1597
175,-816.9399
176,-816.72003
177,-816.5002
178,-816.2803
179,-816.0605
180,-815.8406
181,-815.6209
182,-815.4012
183,-815.18146
184,-814.9619
185,-814.74243
186,-814.5229
187,-814.3036
188,-814.0843
189,-813.86505
190,-813.646
191,-813.4269
192,-813.2079
193,-812.9889
194,-812.7722
195,-812.5553
196,-812.3384
197,-812.1214
198,-811.9044
199,-811.6877
200,-811.47076
201,-811.254
202,-811.03735
203,-810.8207
204,-810.60406
205,-810.3875
206,-810.1711
207,-809.95465
208,-809.7382
209,-809.52185
210,-809.3055
211,-809.0892
212,-808.8729
213,-808.6567
214,-808.4404
215,-808.2242
216,-808.00806
217,-807.7918
218,-807.5757
219,-807.35956
220,-807.1434
221,-806.9273
222,-806.7112
223,-806.4951
224,-806.27905
225,-806.06305
226,-805.84705
227,-805.63104
228,-805.4151
229,-805.1992
230,-804.9834
231,-804.7675
232,-804.55176
233,-804.3362
234,-804.12164
235,-803.9071
236,-803.6924
237,-803.4777
238,-803.26306
239,-803.0484
240,-802.8338
241,-802.61914
242,-802.4047
243,-802.1902
244,-801.97577
245,-801.7614
246,-801.54706
247,-801.3327
248,-801.1185
249,-800.9043
250,-800.69025
251,-800.4761
252,-800.262
253,-800.04816
254,-799.83417
255,-799.6204
256,-799.40656
257,-799.1928
258,-798.9791
259,-798.7655
260,-798.55194
261,-798.3384
262,-798.12494
263,-797.9115
264,-797.6982
265,-797.4848
266,-797.27155
267,-797.05835
268,-796.84515
269,-796.632
270,-796.41907
271,-796.20605
272,-795.9931
273,-795.7802
274,-795.5689
275,-795.35754
276,-795.1462
277,-794.9348
278,-794.7235
279,-794.51227
280,-794.3011
281,-794.09
282,-793.8789
283,-793.6679
284,-793.45703
285,-793.24615
286,-793.03534
287,-792.8246
288,-792.6139
289,-792.40326
290,-792.1928
291,-791.9823
292,-791.7718
293,-791.5614
294,-791.3511
295,-791.14087
296,-790.9306
297,-790.72046
298,-790.51044
299,-790.3003
