,loglik
0,-1631.6178
1,-1631.1914
2,-1630.7648
3,-1630.3381
4,-1629.9113
5,-1629.485
6,-1629.0587
7,-1628.6328
8,-1628.2072
9,-1627.7819
10,-1627.3566
11,-1626.9315
12,-1626.5067
13,-1626.0818
14,-1625.6569
15,-1625.2322
16,-1624.8073
17,-1624.3828
18,-1623.9581
19,-1623.5337
20,-1623.1094
21,-1622.6852
22,-1622.2609
23,-1621.8368
24,-1621.4127
25,-1620.989
26,-1620.5651
27,-1620.1412
28,-1619.7173
29,-1619.2935
30,-1618.8694
31,-1618.4453
32,-1618.0212
33,-1617.5968
34,-1617.1721
35,-1616.7474
36,-1616.3225
37,-1615.8969
38,-1615.471
39,-1615.0323
40,-1614.595
41,-1614.1582
42,-1613.7216
43,-1613.2847
44,-1612.8483
45,-1612.4121
46,-1611.977
47,-1611.5424
48,-1611.1083
49,-1610.6747
50,-1610.2417
51,-1609.8091
52,-1609.3768
53,-1608.9448
54,-1608.5131
55,-1608.0817
56,-1607.6506
57,-1607.2196
58,-1606.7891
59,-1606.3588
60,-1605.9287
61,-1605.4987
62,-1605.0692
63,-1604.6398
64,-1604.2106
65,-1603.7815
66,-1603.3528
67,-1602.9241
68,-1602.4956
69,-1602.0671
70,-1601.639
71,-1601.2109
72,-1600.783
73,-1600.3552
74,-1599.9275
75,-1599.5
76,-1599.0726
77,-1598.6453
78,-1598.2181
79,-1597.7798
80,-1597.3429
81,-1596.9075
82,-1596.4729
83,-1596.0392
84,-1595.6062
85,-1595.1741
86,-1594.7424
87,-1594.3114
88,-1593.8811
89,-1593.4509
90,-1593.0212
91,-1592.592
92,-1592.1631
93,-1591.7344
94,-1591.3059
95,-1590.8778
96,-1590.45
97,-1590.0223
98,-1589.5948
99,-1589.1676
100,-1588.7405
101,-1588.3136
102,-1587.8868
103,-1587.4603
104,-1587.034
105,-1586.6074
106,-1586.1815
107,-1585.7555
108,-1585.3295
109,-1584.9037
110,-1584.4781
111,-1584.0525
112,-1583.627
113,-1583.2017
114,-1582.7762
115,-1582.3512
116,-1581.926
117,-1581.5009
118,-1581.0759
119,-1580.6396
120,-1580.2048
121,-1579.7711
122,-1579.3383
123,-1578.906
124,-1578.4746
125,-1578.0441
126,-1577.6138
127,-1577.1838
128,-1576.7544
129,-1576.3253
130,-1575.8962
131,-1575.4677
132,-1575.0391
133,-1574.6107
134,-1574.1825
135,-1573.7544
136,-1573.3265
137,-1572.8987
138,-1572.4711
139,-1572.0436
140,-1571.6162
141,-1571.1891
142,-1570.7618
143,-1570.335
144,-1569.9081
145,-1569.4813
146,-1569.0547
147,-1568.6283
148,-1568.2018
149,-1567.7756
150,-1567.3492
151,-1566.9231
152,-1566.486
153,-1566.0504
154,-1565.6161
155,-1565.1827
156,-1564.7502
157,-1564.3187
158,-1563.8876
159,-1563.4572
160,-1563.0271
161,-1562.5977
162,-1562.1685
163,-1561.7396
164,-1561.3112
165,-1560.883
166,-1560.4553
167,-1560.0275
168,-1559.6002
169,-1559.1731
170,-1558.7463
171,-1558.3197
172,-1557.8936
173,-1557.4677
174,-1557.0419
175,-1556.6166
176,-1556.1915
177,-1555.7665
178,-1555.342
179,-1554.9177
180,-1554.4938
181,-1554.0703
182,-1553.6471
183,-1553.224
184,-1552.8015
185,-1552.379
186,-1551.9568
187,-1551.5345
188,-1551.1124
189,-1550.6906
190,-1550.269
191,-1549.8474
192,-1549.4138
193,-1548.982
194,-1548.5515
195,-1548.1218
196,-1547.6934
197,-1547.2657
198,-1546.8387
199,-1546.4124
200,-1545.9863
201,-1545.5612
202,-1545.1362
203,-1544.712
204,-1544.288
205,-1543.8644
206,-1543.441
207,-1543.0181
208,-1542.5955
209,-1542.1731
210,-1541.7509
211,-1541.329
212,-1540.9075
213,-1540.486
214,-1540.0647
215,-1539.6436
216,-1539.2228
217,-1538.802
218,-1538.3813
219,-1537.9609
220,-1537.5408
221,-1537.1207
222,-1536.7008
223,-1536.2809
224,-1535.8612
225,-1535.4419
226,-1535.0225
227,-1534.6034
228,-1534.1842
229,-1533.7653
230,-1533.3466
231,-1532.928
232,-1532.4987
233,-1532.0706
234,-1531.6437
235,-1531.2177
236,-1530.7924
237,-1530.3678
238,-1529.9437
239,-1529.5203
240,-1529.0974
241,-1528.6749
242,-1528.2529
243,-1527.8314
244,-1527.4102
245,-1526.9894
246,-1526.5687
247,-1526.1484
248,-1525.7284
249,-1525.3087
250,-1524.8896
251,-1524.4703
252,-1524.0515
253,-1523.6328
254,-1523.2144
255,-1522.7963
256,-1522.378
257,-1521.96
258,-1521.5421
259,-1521.1246
260,-1520.7072
261,-1520.2897
262,-1519.8724
263,-1519.4554
264,-1519.0385
265,-1518.6216
266,-1518.2048
267,-1517.7881
268,-1517.3716
269,-1516.9551
270,-1516.5387
271,-1516.1227
272,-1515.6942
273,-1515.2675
274,-1514.8422
275,-1514.4177
276,-1513.9941
277,-1513.5715
278,-1513.1495
279,-1512.7281
280,-1512.3071
281,-1511.8867
282,-1511.4666
283,-1511.047
284,-1510.6276
285,-1510.2087
